t_6B.1,t_6B.1A.2,t_6B.1A.3,t_6B.1A.4,t_6B.1A.5a,t_6B.1A.5a1,t_6B.1A.5a2,t_6B.1A.5b,t_6B.1A.6,t_6B.1A.7,t_pre-6B.1,c_6B.1,c_6B.1A.2,c_6B.1A.3,c_6B.1A.4,c_6B.1A.5a,c_6B.1A.5a1,c_6B.1A.5a2,c_6B.1A.5b,c_6B.1A.6,c_6B.1A.7,c_pre-6B.1,k_6B.1,k_6B.1A.2,k_6B.1A.3,k_6B.1A.4,k_6B.1A.5a,k_6B.1A.5a1,k_6B.1A.5a2,k_6B.1A.5b,k_6B.1A.6,k_6B.1A.7,k_pre-6B.1,qt_6B.1,qt_6B.1A.2,qt_6B.1A.3,qt_6B.1A.4,qt_6B.1A.5a,qt_6B.1A.5a1,qt_6B.1A.5a2,qt_6B.1A.5b,qt_6B.1A.6,qt_6B.1A.7,qt_pre-6B.1,maxll,convergence
1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1/1/2010,1,1,1,1,1,1,1,1,1,1,1,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,9.970929618,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1,-2.44E-08,FTOL_REACHED
1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1/1/2011,1,1,1,1,1,1,1,1,1,1,1,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,9.970929618,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1,-5.73E-08,FTOL_REACHED
1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1/1/2012,1,1,1,1,1,1,1,1,1,1,1,1.017138619,1.00E-10,1.00E-10,7.86E-08,1.00E-10,0.000206784,3.14E-07,1.00E-10,1.00E-10,1.00E-10,1.005790355,0.000251176,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.999999143,-1.20074762,FTOL_REACHED
1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1/1/2013,1,1,1,1,1,1,1,1,1,1,1,8.47E-10,1.97E-08,2.44E-10,7.12E-09,4.34E-09,8.91E-09,2.06E-10,8.91E-09,2.39E-10,8.89E-09,0.009912219,0.02842712,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.997480414,-1.036551616,XTOL_REACHED
1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1/1/2014,1,1,1,1,1,1,1,1,1,1,1,1.083160282,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.07E-08,1.00E-10,1.00E-10,1.046689386,0.001879937,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1,-5.533566442,FTOL_REACHED
1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1,1,1,1,1,1,1,1,1,1,1,1.051427587,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.994654541,0.006343268,3.64E-09,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.998269699,-92.95616964,FTOL_REACHED
1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1/1/2016,1,1,1,1,1,1,1,1,1,1,1,2.118831459,0.566803136,0.192955882,2.125120101,0.060529114,0.315905555,1.01E-10,2.123182049,2.026945465,0.126399254,2.083696899,0.070581553,0.011006556,0.002565635,0.000125891,0.001670086,0.003863015,0.002445758,0.000345337,0.000110138,0.015935654,0.022725069,-980.189981,XTOL_REACHED
1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1/1/2017,1,1,1,1,1,1,1,1,1,1,1,0.96426837,1.014946551,1.08584269,0.963925304,1.064500167,1.00E-10,1.00E-10,0.988778547,1.010290372,1.016029189,0.942907163,0.070036989,5.63E-06,2.50E-09,0.000331454,6.14E-09,0.557864939,0.365755479,0.000499981,6.50E-05,4.16E-06,0.005159702,-72.38403209,FTOL_REACHED
1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1,1,1,1,1,1,1,1,1,1,1,1.007218495,1.02228134,1.018142552,1.020277895,1.057367077,1.04482196,1.049194883,1.018882535,1.010250789,1.028598547,1.000267153,0.530123122,0.019289736,0.035437377,0.002236327,0.002182469,0.000390433,6.91E-06,0.073814648,0.137637514,0.015776814,0.002739394,-82.30903375,FTOL_REACHED
1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1,1,1,1,1,1,1,1,1,1,1,1.001390255,0.994420386,1.000891712,0.99437028,1.018793595,1.054468293,1.084317158,1.025043611,0.999256249,1.021652577,1.023194068,0.238013377,0.053336411,0.058177823,0.00488446,0.31214397,0.010937199,0.000237836,0.117363081,0.089625998,0.079663001,0.000479681,-71.87658473,FTOL_REACHED
1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1,1,1,1,1,1,1,1,1,1,1,1,1.00E-10,1.00E-10,1.00E-10,1.997170058,2.056242586,2.039862107,1.999298972,0.558052495,1.736107121,1.007240892,0.008702396,0.134650732,0.746389164,0.109313903,0.005506953,0.010237952,0.007032066,0.005550851,0.006684971,0.005257044,0.002509752,-588.0006149,XTOL_REACHED
1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1/1/2021,1,1,1,1,1,1,1,1,1,1,1,1.123171737,1.00E-10,1.00E-10,1.00E-10,1.099650284,1.085600506,1.09287364,0.046591546,1.00E-10,0.976200014,0.980558154,8.20E-06,1.00E-10,1.00E-10,1.00E-10,0.000978143,0.081547018,0.02475376,0.891645657,1.49E-09,0.000939956,0.000459687,-16.46474964,FTOL_REACHED
