date,k_6B.1,k_6B.1A.2,k_6B.1A.3,k_6B.1A.4,k_6B.1A.5a,k_6B.1A.5a1,k_6B.1A.5a2,k_6B.1A.5b,k_6B.1A.6,k_6B.1A.7,k_pre-6B.1
1/1/2010,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,9.970929618
1/1/2011,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,9.970929618
1/1/2012,1.017138619,1.00E-10,1.00E-10,7.86E-08,1.00E-10,0.000206784,3.14E-07,1.00E-10,1.00E-10,1.00E-10,1.005790355
1/1/2013,8.47E-10,1.97E-08,2.44E-10,7.12E-09,4.34E-09,8.91E-09,2.06E-10,8.91E-09,2.39E-10,8.89E-09,0.009912219
1/1/2014,1.083160282,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.07E-08,1.00E-10,1.00E-10,1.046689386
1/1/2015,1.051427587,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.994654541
1/1/2016,2.118831459,0.566803136,0.192955882,2.125120101,0.060529114,0.315905555,1.01E-10,2.123182049,2.026945465,0.126399254,2.083696899
1/1/2017,0.96426837,1.014946551,1.08584269,0.963925304,1.064500167,1.00E-10,1.00E-10,0.988778547,1.010290372,1.016029189,0.942907163
1/1/2018,1.007218495,1.02228134,1.018142552,1.020277895,1.057367077,1.04482196,1.049194883,1.018882535,1.010250789,1.028598547,1.000267153
1/1/2019,1.001390255,0.994420386,1.000891712,0.99437028,1.018793595,1.054468293,1.084317158,1.025043611,0.999256249,1.021652577,1.023194068
1/1/2020,1,1.00E-10,1.00E-10,1.00E-10,1.997170058,2.056242586,2.039862107,1.999298972,0.558052495,1.736107121,1.007240892
1/1/2021,1.123171737,1.00E-10,1.00E-10,1.00E-10,1.099650284,1.085600506,1.09287364,0.046591546,1.00E-10,0.976200014,0.980558154
