date,6B.1,6B.1A.1,6B.1A.2,6B.1A.3,6B.1A.4,6B.1A.5a,6B.1A.5a1,6B.1A.5a2,6B.1A.5b,6B.1A.6,6B.1A.7,pre-6B.1
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,757
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,1777
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,685
2013-01-01,1,0,0,0,0,0,0,0,0,0,0,840
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,1167
2015-01-01,51,0,0,0,0,0,0,0,0,0,0,410
2016-01-01,1890,0,0,0,0,0,0,0,0,0,0,376
2017-01-01,1046,5,0,0,5,0,0,0,9,1,0,68
2018-01-01,2203,710,88,156,10,33,0,0,327,580,74,11
2019-01-01,2221,331,481,542,44,3181,137,4,1234,828,824,5
2020-01-01,113,9,11,26,1,1165,2562,1644,912,33,416,3
2021-01-01,0,0,0,0,0,4,307,97,21,0,2,1
2022-01-01,2,0,0,0,0,18,318,216,0,0,0,0
