date_from,date_till,Delta,Omicron_BA1,Omicron_BA2
2021-12-01,2021-12-01,2306,32,0
2021-12-02,2021-12-02,2692,41,0
2021-12-03,2021-12-03,2401,33,0
2021-12-04,2021-12-04,2930,61,0
2021-12-05,2021-12-05,3451,103,1
2021-12-06,2021-12-06,4249,204,0
2021-12-07,2021-12-07,1772,155,0
2021-12-08,2021-12-08,1488,169,0
2021-12-09,2021-12-09,1016,160,0
2021-12-10,2021-12-10,1447,190,2
2021-12-11,2021-12-11,972,194,0
2021-12-12,2021-12-12,911,234,2
2021-12-13,2021-12-13,968,375,11
2021-12-14,2021-12-14,519,371,13
2021-12-15,2021-12-15,568,487,12
2021-12-16,2021-12-16,546,411,17
2021-12-17,2021-12-17,209,212,17
2021-12-18,2021-12-18,390,536,33
2021-12-19,2021-12-19,474,705,49
2021-12-20,2021-12-20,389,666,71
2021-12-21,2021-12-21,257,557,66
2021-12-22,2021-12-22,162,469,55
2021-12-23,2021-12-23,178,494,67
2021-12-24,2021-12-24,81,156,26
2021-12-25,2021-12-25,69,180,39
2021-12-26,2021-12-26,101,469,86
2021-12-27,2021-12-27,232,1326,315
2021-12-28,2021-12-28,154,987,214
2021-12-29,2021-12-29,49,334,90
2021-12-30,2021-12-30,85,669,145
2021-12-31,2021-12-31,32,306,83
2022-01-01,2022-01-01,27,286,102
2022-01-02,2022-01-02,259,3524,1085
2022-01-03,2022-01-03,113,1554,523
2022-01-04,2022-01-04,19,303,111
2022-01-05,2022-01-05,60,1102,415
2022-01-06,2022-01-06,34,610,288
2022-01-07,2022-01-07,56,1520,832
2022-01-08,2022-01-08,14,492,268
2022-01-09,2022-01-09,17,284,224
2022-01-10,2022-01-10,29,828,711
2022-01-11,2022-01-11,20,1025,997
2022-01-12,2022-01-12,16,857,876
2022-01-13,2022-01-13,18,968,1140
2022-01-14,2022-01-14,11,930,1258
2022-01-15,2022-01-15,9,704,1000
2022-01-16,2022-01-16,8,567,984
2022-01-17,2022-01-17,11,808,1519
2022-01-18,2022-01-18,12,831,1680
2022-01-19,2022-01-19,5,639,1434
2022-01-20,2022-01-20,4,595,1376
2022-01-21,2022-01-21,5,666,1788
2022-01-22,2022-01-22,6,524,1448
2022-01-23,2022-01-23,4,458,1536
2022-01-24,2022-01-24,4,490,1743
2022-01-25,2022-01-25,3,484,1851
2022-01-26,2022-01-26,0,310,1197
2022-01-27,2022-01-27,1,320,1284
2022-01-28,2022-01-28,0,172,896
2022-01-29,2022-01-29,1,196,1202
2022-01-30,2022-01-30,0,325,2039
2022-01-31,2022-01-31,1,368,2180
2022-02-01,2022-02-01,2,86,561
2022-02-02,2022-02-02,0,112,670
2022-02-03,2022-02-03,0,105,1300
2022-02-04,2022-02-04,1,143,1635
2022-02-05,2022-02-05,0,197,1730
2022-02-06,2022-02-06,1,133,1293
2022-02-07,2022-02-07,0,145,1556
2022-02-08,2022-02-08,0,126,1630
2022-02-09,2022-02-09,1,83,1156
2022-02-10,2022-02-10,0,85,1118
2022-02-11,2022-02-11,0,125,1698
2022-02-12,2022-02-12,0,126,2031
2022-02-13,2022-02-13,1,120,2241
2022-02-14,2022-02-14,0,104,2145
2022-02-15,2022-02-15,0,104,2489
2022-02-16,2022-02-16,1,58,1204
2022-02-17,2022-02-17,0,61,1362
2022-02-18,2022-02-18,0,75,2138
2022-02-19,2022-02-19,0,42,1317
2022-02-20,2022-02-20,0,20,725
2022-02-21,2022-02-21,0,25,674
